Begin Time:2021-05-13T17:36:22.633
[2021-05-13T17:36:22.633 info Netsdk:48184 14224:12524 AVNetSDKMgr.cpp:378]Load avnetsdk library dynamically
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:14236 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B3346920, pstOutParam:000001B1B3349D30.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:2476 dhnetsdk.cpp:825]IP:170.242.0.254, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.766 info Netsdk:48184 14224:7884 dhnetsdk.cpp:825]IP:170.242.0.254, port:8004, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:14236 dhnetsdk.cpp:825]IP:170.242.0.254, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:9172 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A6A0, pstOutParam:000001B1B3349330.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:9172 dhnetsdk.cpp:825]IP:170.242.0.254, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:12608 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334BF20, pstOutParam:000001B1B3348730.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:12608 dhnetsdk.cpp:825]IP:170.242.0.218, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:14124 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334AA20, pstOutParam:000001B1B3348330.
[2021-05-13T17:36:22.767 info Netsdk:48184 14224:14124 dhnetsdk.cpp:825]IP:196.6.0.2, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:13468 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B040, pstOutParam:000001B1B3349E30.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:1212 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B200, pstOutParam:000001B1B3349530.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:13468 dhnetsdk.cpp:825]IP:10.4.97.10, port:8007, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:1212 dhnetsdk.cpp:825]IP:196.6.1.186, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:1156 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A320, pstOutParam:000001B1B3348B30.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:1156 dhnetsdk.cpp:825]IP:196.6.1.194, port:8002, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:7120 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A240, pstOutParam:000001B1B3349630.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:7120 dhnetsdk.cpp:825]IP:196.6.0.2, port:8003, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:10100 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334B660, pstOutParam:000001B1B3348430.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:10100 dhnetsdk.cpp:825]IP:196.6.0.2, port:8001, SpeCap:0, CapParam:0000000000000000.
[2021-05-13T17:36:22.768 info Netsdk:48184 14224:3880 dhnetsdk.cpp:809]Enter CLIENT_LoginWithHighLevelSecurity. pstInParam:000001B1B334A4E0, pstOutParam:000001B1B3349A30.
[2021-05-13T17:36:22.769 info Netsdk:48184 14224:3880 dhnetsdk.cpp:825]IP:196.6.0.10, port:8001, SpeCap:0, CapParam:0000000000000000.
